Item,SITES (POR REGIÃO/MUNICÍPIO),NOME DO SITE,REFERÊNCIA GEOGRÁFICA,,SISTEMA,STATUS,CATEGORIA,in/out,VALOR LOCAÇÃO
32,Ituporanga,,"27°24'42.14""S  49°35'34.10""O",,VHF,PMSC,Primária,indoor,
33,Laurentino,,"27°14'20.30""S  49°43'21.40""O",,VHF,,Primária,indoor,
34,Lebom Regis,,"26°55'24.31""S  50°41'36.01""O",,VHF,,Primária,indoor,
35,Leoberto Leal,,"27°29'9.44""S  49°18'6.80""O",,VHF,,Primária,indoor,
36,Macieira,,"26°50'6.76""S  51°22'12.33""O",,VHF,,Primária,indoor,
37,Mafra,,"26°06'43""S  49°48'21""W",,VHF,,Primária,indoor,
38,Maravilha,,"26°46'24.66""S  53° 9'53.65""O",,VHF,,Primária,indoor,
39,Monte Castelo,,"26°27'59.00""S  50°13'5.00""O",,VHF,,Primária,indoor,
40,Orleans,,"28°23'35.81""S  49°32'58.35""O",,VHF,,Primária,indoor,
41,Palmitos,,"27° 4'22.73""S  53° 9'51.24""O",,VHF,Convênio (Radio Pro FM LtdA),Primária,indoor,
42,Papanduva,,"26°23'34.54""S  50° 9'2.36""O",,VHF,,Primária,indoor,
43,Pinhalzinho,,"26°50'9.98""S  52°59'3.20""O",,VHF,Convênio (Pref),Primária,indoor,
44,Piratuba,,"27°25'31.12""S  51°45'48.49""O",,VHF,,Primária,indoor,
45,Ponte Serrada,,"26°51'10.35""S  52° 2'42.24""O",,VHF,Convênio (Pref) ,Primária,indoor,
46,Porto União,,"26°14'49.58""S  51° 4'37.37""O",,VHF,,Primária,indoor,
47,Presidente Nereu,,"27°15'4.30""S  49°25'26.71""O",,VHF,,Primária,indoor,
48,Rio do Sul,,"27°11'12.46""S  49°39'40.49""O",,VHF,PMSC,Primária,indoor,
49,Rio Negrinho,,"26°15'36.63""S  49°32'53.11""O",,VHF,,Primária,indoor,
50,Santa Rosa de Lima,,"28° 2'52.51""S  49° 8'38.66""O",,VHF,,Primária,indoor,
51,Santa Cecilia,,"26°57'44.00""S  50°25'35.00""O",,VHF,,Primária,indoor,
52,Santa Terezinha,,"26°39'1.00""S  49°59'21.00""O",,VHF,,Primária,indoor,
